Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
6079,Ramgopal,AKBARPUR,Rashtriya Janutthan Party,0,Post Graduate,"Rs 30,81,000 ~ 30 Lacs+",Rs 0 ~
6080,Ramgovind Barua,HOSHANGABAD,BSP,0,8th Pass,,
6081,Ramhari Gope,RANCHI,Ambedkarite Party of India,1,Graduate,"Rs 1,42,000 ~ 1 Lacs+","Rs 95,000 ~ 95 Thou+"
6082,Ramjaan Khan,ANANDPUR SAHIB,IND,0,Illiterate,"Rs 10,25,000 ~ 10 Lacs+",Rs 0 ~
6083,Ramjee Singh,ARRAH,Voters Party International,1,12th Pass,"Rs 40,40,000 ~ 40 Lacs+",Rs 0 ~
6084,Ramji Thakor,MAHESANA,INC,0,12th Pass,"Rs 8,55,12,315 ~ 8 Crore+","Rs 14,86,990 ~ 14 Lacs+"
6085,Ramji Yamanappa Buddhapriya,BIJAPUR (SC),Naki Bharatiya Ekta Party,1,10th Pass,,
6086,Ramjibhai Jakhubhai Dafda,KACHCHH (SC),Right to Recall Party,0,10th Pass,"Rs 30,300 ~ 30 Thou+",Rs 0 ~
6087,Ramjit Singh,AURANGABAD,Rashtriya Jansambhavna Party,0,10th Pass,"Rs 5,68,000 ~ 5 Lacs+",Rs 0 ~
6088,Ramkhiladi Dhovi,KARAULI-DHOLPUR (SC),IND,0,5th Pass,"Rs 6,29,000 ~ 6 Lacs+",Rs 0 ~
6089,Ramkishor,FATEHPUR,Rashtra Uday Party,0,5th Pass,"Rs 60,69,969 ~ 60 Lacs+",Rs 0 ~
6090,Ramkrishna Verma,RAIPUR,IND,0,8th Pass,Nil,
6091,Ramkumar Inwati,MANDLA (ST),Smart Indians Party,0,Post Graduate,"Rs 43,46,000 ~ 43 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
6092,Ramkumar Mondal,DIAMOND HARBOUR,SUCI(C),0,Graduate,"Rs 10,822 ~ 10 Thou+",Rs 0 ~
6093,Ramkumar Pasi,JABALPUR,Bahujan Awam Party,0,12th Pass,"Rs 87,18,600 ~ 87 Lacs+",Rs 0 ~
6094,Ramlakhan Pasi,BARABANKI (SC),IND,0,10th Pass,"Rs 81,10,000 ~ 81 Lacs+",Rs 0 ~
6095,Ramlal,AJMER,Akhil Bhartiya Aamjan Party,0,8th Pass,,
6096,Ramnaresh Yadav,GHOSI,Jan Raajya Party,0,Post Graduate,"Rs 6,24,000 ~ 6 Lacs+",Rs 0 ~
6097,Ramnath Mehra,KOTA,IND,0,Post Graduate,"Rs 2,74,88,765 ~ 2 Crore+","Rs 2,42,400 ~ 2 Lacs+"
6098,Ramnath Singh Sikarwar,FATEHPUR SIKRI,INC,17,Graduate,"Rs 69,92,919 ~ 69 Lacs+",Rs 0 ~
6099,Ramnivas Gond,BALLIA,Gondvana Gantantra Party,1,5th Pass,"Rs 26,53,241 ~ 26 Lacs+",Rs 0 ~
6100,Ramniwash,MORENA,IND,0,12th Pass,,
6101,Rampal,MISRIKH (SC),IND,0,12th Pass,"Rs 83,71,000 ~ 83 Lacs+",Rs 0 ~
6102,Rampal Singh,TEHRI GARHWAL,Peoples Party of India (Democratic),0,Post Graduate,"Rs 2,81,58,182 ~ 2 Crore+","Rs 26,00,000 ~ 26 Lacs+"
6103,Ramprasad,DEWAS (SC),Aazad Samaj Party (Kanshi Ram),0,Literate,"Rs 2,71,763 ~ 2 Lacs+",Rs 0 ~
6104,Ramprasad Ghorai,ULUBERIA,Indian Unity Centre,0,10th Pass,"Rs 2,36,900 ~ 2 Lacs+",Rs 0 ~
6105,Ramprasad Narayan Bangar,HINGOLI,IND,0,10th Pass,,
6106,Ramprasad Patel,BHOPAL,IND,2,Literate,"Rs 75,444 ~ 75 Thou+",Rs 0 ~
6107,Rampravesh,GHAZIPUR,Moulik Adhikar Party,0,Graduate,"Rs 87,62,300 ~ 87 Lacs+",Rs 0 ~
6108,Ramprit,MAHARAJGANJ,IND,2,Literate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
6109,Ramprit Mandal,JHANJHARPUR,JD(U),0,10th Pass,"Rs 10,59,78,772 ~ 10 Crore+","Rs 4,26,593 ~ 4 Lacs+"
6110,Rampukar Ray,UJIARPUR,SUCI(C),0,Literate,,
6111,Rampyare Rai,BILASPUR,IND,0,Graduate,"Rs 32,66,500 ~ 32 Lacs+",Rs 0 ~
6112,Ramrao Bajirao Ghodaskar,WARDHA,All India Forward Bloc,0,Graduate,"Rs 84,96,872 ~ 84 Lacs+",Rs 0 ~
6113,Ramsahay Sahu,SIDHI,Aapka Gantantra Party,0,5th Pass,"Rs 21,97,230 ~ 21 Lacs+",Rs 0 ~
6114,Ramsamujh,BANSGAON (SC),BSP,0,Doctorate,"Rs 19,23,05,737 ~ 19 Crore+","Rs 2,33,84,964 ~ 2 Crore+"
6115,Ramsevak Sakhwar,MORENA,IND,0,8th Pass,,
6116,Ramsiddh Yadav Urf R.S.Yadav,PRATAPGARH,Manavtawadi Samaj Party,0,Graduate,"Rs 90,52,300 ~ 90 Lacs+",Rs 0 ~
6117,Ramsingh Kasana,JAIPUR RURAL,IND,0,10th Pass,"Rs 74,00,811 ~ 74 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
6118,Ramswaroop Koli,BHARATPUR (SC),BJP,0,12th Pass,"Rs 78,11,250 ~ 78 Lacs+","Rs 3,30,146 ~ 3 Lacs+"
6119,Ramu M G,CHENNAI SOUTH,Jebamani Janata,0,10th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
6120,Ramu Tekam,BETUL (ST),INC,0,Post Graduate,,
6121,Ramudgar,BEGUSARAI,SUCI(C),0,12th Pass,"Rs 13,45,690 ~ 13 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
6122,Ramula Karthik,PEDDAPALLE (SC),IND,0,12th Pass,"Rs 2,02,000 ~ 2 Lacs+","Rs 1,70,000 ~ 1 Lacs+"
6123,Ramulu Bingi,CHEVELLA,Yuga Thulasi Party,0,Post Graduate,"Rs 9,84,000 ~ 9 Lacs+","Rs 6,50,000 ~ 6 Lacs+"
6124,Ramvachan,GHOSI,Sardar Patel Siddhant Party,0,10th Pass,"Rs 45,95,000 ~ 45 Lacs+",Rs 0 ~
6125,Ramvilas Ramulalji Navandar,BIDAR,IND,0,Others,,
6126,Ramvir Singh Bidhuri,SOUTH DELHI,BJP,1,Graduate,"Rs 52,64,19,941 ~ 52 Crore+","Rs 10,00,000 ~ 10 Lacs+"
6127,Ramvishal Kol,SIDHI,Rashtriya Samaj Paksha,0,12th Pass,"Rs 7,76,200 ~ 7 Lacs+",Rs 0 ~
6128,Ramya Haridas,ALATHUR (SC),INC,9,10th Pass,"Rs 63,66,427 ~ 63 Lacs+","Rs 14,62,096 ~ 14 Lacs+"
6129,Ramzan Ali Chaudhary,MUMBAI NORTH - CENTRAL,All India Majlis-E-Ittehadul Muslimeen,1,Graduate Professional,"Rs 4,52,00,716 ~ 4 Crore+",Rs 0 ~
6130,Ramzan Mansuri,NAVSARI,Log Party,0,10th Pass,,
6131,Ramzanbee,KOPPAL,All India Ulama Congress,0,Illiterate,"Rs 15,30,000 ~ 15 Lacs+",Rs 0 ~
6132,Ran Singh Dudee,GAUTAM BUDDHA NAGAR,Super Power India Party,0,Graduate,"Rs 7,92,68,500 ~ 7 Crore+",Rs 0 ~
6133,Ran Singh Panwar,SIRSA (SC),IND,0,Graduate,"Rs 60,000 ~ 60 Thou+",Rs 0 ~
6134,Rana Ranjit,SHEOHAR,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,"Rs 96,70,741 ~ 96 Lacs+","Rs 53,16,018 ~ 53 Lacs+"
6135,Ranapratap Gattu,KARIMNAGAR,Socialist Party (India),2,Post Graduate,,
6136,Randheer Singh Alias Dheeru Khatana,FARIDABAD,Akhil Bhartiya Kisan Majdoor Party,0,10th Pass,"Rs 10,73,00,000 ~ 10 Crore+",Rs 0 ~
6137,Randhir Lal,ARRAH,IND,0,Literate,"Rs 3,24,400 ~ 3 Lacs+",Rs 0 ~
6138,Randhir Paswan,HAJIPUR (SC),IND,0,Graduate,"Rs 12,61,000 ~ 12 Lacs+","Rs 19,38,693 ~ 19 Lacs+"
6139,Randhir Singh,HISAR,IND,0,Others,"Rs 1,79,77,405 ~ 1 Crore+",Rs 0 ~
6140,Ranendra Nath Mali,BALURGHAT,IND,0,12th Pass,,
6141,Rang Bahadur,MACHHLISHAHR (SC),IND,0,Graduate Professional,"Rs 2,35,000 ~ 2 Lacs+",Rs 0 ~
6142,Ranganatha. R.S,TUMKUR,IND,0,Graduate,"Rs 24,61,571 ~ 24 Lacs+","Rs 9,41,914 ~ 9 Lacs+"
6143,Rangaswamy. M,MYSORE,IND,0,10th Pass,"Rs 11,91,568 ~ 11 Lacs+",Rs 0 ~
6144,Rangi Khan,SANGRUR,Aam Janta Party (India),0,12th Pass,"Rs 11,60,800 ~ 11 Lacs+",Rs 0 ~
6145,Rangla Kalesh,RATLAM (ST),IND,0,Post Graduate,,
6146,Ranjan Gupta,REWA,Rashtravadi Bharat Party,1,Post Graduate,"Rs 2,06,83,128 ~ 2 Crore+","Rs 69,14,218 ~ 69 Lacs+"
6147,Ranjan Kumar,GAYA (SC),IND,0,Graduate,"Rs 61,07,000 ~ 61 Lacs+",Rs 0 ~
6148,Ranjan Kumar,PATALIPUTRA,IND,0,12th Pass,"Rs 16,32,000 ~ 16 Lacs+",Rs 0 ~
6149,Ranjana,BALLIA,IND,0,8th Pass,"Rs 1,56,31,211 ~ 1 Crore+",Rs 0 ~
6150,Ranjana Giri,RANCHI,Republican Party of India (A),1,10th Pass,,
6151,Ranjana Mishra,SATNA,Nyaydharmsabha,0,Post Graduate,"Rs 25,97,062 ~ 25 Lacs+","Rs 55,000 ~ 55 Thou+"
6152,Ranjana Ravi Tribhuwan,BHIWANDI,IND,0,8th Pass,"Rs 30,70,952 ~ 30 Lacs+","Rs 23,00,000 ~ 23 Lacs+"
6153,Ranjay Kr Brahma,KOKRAJHAR (ST),IND,0,Post Graduate,"Rs 30,000 ~ 30 Thou+",Rs 0 ~
6154,Ranjeet Bhagat,LOHARDAGA (ST),IND,0,Graduate Professional,"Rs 25,50,000 ~ 25 Lacs+",Rs 0 ~
6155,Ranjeet Kumar Ram,DARBHANGA,Wazib Adhikar Party,0,Graduate,,
6156,Ranjeetsingh Hindurao Naik Nimbalkar,MADHA,BJP,3,12th Pass,"Rs 2,05,82,58,375 ~ 205 Crore+","Rs 47,57,07,175 ~ 47 Crore+"
6157,Ranjini. M,DAKSHINA KANNADA,Karnataka Rashtra Samithi,0,10th Pass,"Rs 34,47,500 ~ 34 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
6158,Ranjit Barman,JALPAIGURI (SC),Mulnibasi Party of India,0,Graduate Professional,"Rs 10,60,500 ~ 10 Lacs+",Rs 0 ~
6159,Ranjit Dutta,SONITPUR,BJP,0,12th Pass,"Rs 8,97,92,194 ~ 8 Crore+","Rs 2,42,61,374 ~ 2 Crore+"
6160,Ranjit Kumar,NAWADA,BSP,0,Doctorate,,
6161,Ranjit Kumar,HOSHIARPUR (SC),BSP,0,Graduate Professional,"Rs 66,14,916 ~ 66 Lacs+","Rs 12,44,229 ~ 12 Lacs+"
6162,Ranjit Kumar Mandal,JADAVPUR,IND,1,Post Graduate,"Rs 26,86,542 ~ 26 Lacs+",Rs 0 ~
6163,Ranjit Reddy Gade,CHEVELLA,Revolutionary Socialist Party,0,10th Pass,"Rs 26,71,232 ~ 26 Lacs+",Rs 0 ~
6164,Ranjit Singh,PATIALA,Akhil Bhartiya Parivar Party,0,10th Pass,"Rs 8,50,000 ~ 8 Lacs+","Rs 12,00,000 ~ 12 Lacs+"
6165,Ranjit Singh,HISAR,BJP,0,Graduate,,
6166,Ranjit Singh Dhillon,LUDHIANA,SAD,1,Graduate,"Rs 5,97,38,917 ~ 5 Crore+",Rs 0 ~
6167,Ranjita Sahu,ASKA,BJD,0,Post Graduate,"Rs 2,61,96,931 ~ 2 Crore+","Rs 51,12,676 ~ 51 Lacs+"
6168,Ranjith Gowda,BANGALORE SOUTH,IND,0,Others,"Rs 61,95,125 ~ 61 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
6169,Ranjith Kumar Palaka,ARAKU (ST),IND,0,Graduate,"Rs 35,000 ~ 35 Thou+",Rs 0 ~
6170,Ranjith Vishwa,BANGALORE CENTRAL,Samajwadi Janata Party(Karnataka),0,Graduate Professional,,
6171,Ranjitha. N,MANDYA,IND,0,10th Pass,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~
6172,Ranjithkumar Baluswamy,SIVAGANGA,BSP,0,12th Pass,"Rs 23,000 ~ 23 Thou+",Rs 0 ~
6173,Ranjithkumar.S,CHENNAI CENTRAL,IND,0,Graduate Professional,"Rs 20,90,000 ~ 20 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
6174,Ranjodh Singh,GURDASPUR,Jan Sewa Driver Party,0,5th Pass,"Rs 18,00,000 ~ 18 Lacs+",Rs 0 ~
6175,Ranpise Prashant Dadaram,PUNE,BSP,0,Graduate,,
6176,Ranu Kumar Chaudhary,GAYA (SC),IND,0,10th Pass,"Rs 3,25,000 ~ 3 Lacs+",Rs 0 ~
6177,Ranveer Singh,CHURU,IND,0,Graduate,"Rs 20,20,811 ~ 20 Lacs+","Rs 9,72,619 ~ 9 Lacs+"
6178,Rao Dan Singh,BHIWANI-MAHENDRAGARH,INC,0,Post Graduate,"Rs 18,04,83,048 ~ 18 Crore+","Rs 39,88,839 ~ 39 Lacs+"
6179,Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,"Rs 1,21,54,22,868 ~ 121 Crore+","Rs 13,36,70,844 ~ 13 Crore+"
6180,Rao Rajendra Singh,JAIPUR RURAL,BJP,0,Graduate,,
6181,Raosaheb Shankar Kale,AHMEDNAGAR,IND,0,10th Pass,"Rs 7,15,500 ~ 7 Lacs+","Rs 25,00,000 ~ 25 Lacs+"
6182,Rapaka Varaprasada Rao,AMALAPURAM (SC),YSRCP,2,10th Pass,"Rs 2,47,25,608 ~ 2 Crore+","Rs 29,87,883 ~ 29 Lacs+"
6183,Rapally Satyanarayana,NIZAMABAD,IND,0,Graduate,"Rs 54,73,000 ~ 54 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
6184,Rapelly Srinivas,NIZAMABAD,IND,0,8th Pass,"Rs 26,85,000 ~ 26 Lacs+",Rs 0 ~
6185,Rapole Ramkumar Bharadwaj,KARIMNAGAR,IND,0,Post Graduate,,
6186,Rasheed Khan,DAVANAGERE,IND,0,10th Pass,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~
6187,Rasheeda Begum,HAVERI,Indian Movement Party,0,5th Pass,"Rs 1,32,10,000 ~ 1 Crore+","Rs 25,00,000 ~ 25 Lacs+"
6188,Rashid Ahmed Choudhury,KARIMGANJ,IND,0,8th Pass,"Rs 12,27,000 ~ 12 Lacs+","Rs 53,650 ~ 53 Thou+"
6189,Rashid Ismail Shaikh,MADHA,IND,0,8th Pass,"Rs 2,18,41,000 ~ 2 Crore+","Rs 2,00,000 ~ 2 Lacs+"
6190,Rashid Khan,SAHARANPUR,IND,0,10th Pass,,
6191,Rashmi Kant,FIROZABAD,Parivartan Samaj Party,0,Graduate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
6192,Rasmi Ranjan Patnaik,BERHAMPUR,INC,0,Post Graduate,"Rs 4,06,69,771 ~ 4 Crore+","Rs 4,07,059 ~ 4 Lacs+"
6193,Ratan Asaram Landge,JALNA,IND,0,5th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
6194,Ratan Bihari,SAMASTIPUR (SC),Desh Janhit Party,0,Graduate,"Rs 5,94,000 ~ 5 Lacs+",Rs 0 ~
6195,Ratani Devi,BIKANER (SC),IND,0,10th Pass,,
6196,Ratha G,CHIDAMBARAM (SC),IND,0,10th Pass,"Rs 21,87,818 ~ 21 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
6197,Rathin Ganguly,HOWRAH,IND,0,12th Pass,"Rs 8,96,400 ~ 8 Lacs+",Rs 0 ~
6198,Rathod Chandubhai Mohanbhai,PORBANDAR,IND,0,5th Pass,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~
6199,Rathod Dineshbhai Lakhabhai,BHAVNAGAR,BSP,0,Literate,"Rs 12,25,000 ~ 12 Lacs+",Rs 0 ~
6200,Rathod Mavji Bhemaji,BANASKANTHA,IND,0,Illiterate,,
6201,Rathod Punjabhai Palabhai,JAMNAGAR,IND,0,8th Pass,"Rs 1,82,000 ~ 1 Lacs+",Rs 0 ~
6202,Rathod Subash,ADILABAD (ST),IND,0,10th Pass,"Rs 23,63,975 ~ 23 Lacs+",Rs 0 ~
6203,Rathod Suresh Gopinath,NANDED,IND,1,12th Pass,"Rs 8,30,000 ~ 8 Lacs+",Rs 0 ~
6204,Rathva Furakanbhai Baljibhai,CHHOTA UDAIPUR (ST),Malwa Congress,0,Literate,"Rs 48,91,010 ~ 48 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
6205,Rathva Mukeshbhai Nurabhai,CHHOTA UDAIPUR (ST),IND,0,Graduate Professional,,
6206,Rattan Lal,JAMMU,Jammu & Kashmir People Conference,0,10th Pass,"Rs 6,87,423 ~ 6 Lacs+","Rs 1,34,000 ~ 1 Lacs+"
6207,Raushan Kumar Srivastava,PASCHIM CHAMPARAN,IND,0,12th Pass,"Rs 8,91,388 ~ 8 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
6208,Ravendran E,CHENNAI SOUTH,IND,0,Graduate Professional,"Rs 17,000 ~ 17 Thou+",Rs 0 ~
6209,Ravi,WEST DELHI,IND,0,10th Pass,"Rs 1,13,719 ~ 1 Lacs+",Rs 0 ~
6210,Ravi Babu Gavli,MUMBAI NORTH,Samata Party,0,Graduate,,
6211,Ravi Balaraman,CHENNAI CENTRAL,IND,0,8th Pass,"Rs 1,85,12,236 ~ 1 Crore+","Rs 8,12,456 ~ 8 Lacs+"
6212,Ravi Chandra Rai,SIKKIM,IND,0,Others,"Rs 72,47,110 ~ 72 Lacs+",Rs 0 ~
6213,Ravi Gunwantrao Wankhade,AMRAVATI (SC),IND,0,12th Pass,"Rs 70,030 ~ 70 Thou+","Rs 2,69,000 ~ 2 Lacs+"
6214,Ravi Kant Singh Alias Ravi Patel,BALLIA,Sardar Patel Siddhant Party,0,12th Pass,"Rs 11,00,000 ~ 11 Lacs+",Rs 0 ~
6215,Ravi Kiran Thilak Thatikonda,NORTH EAST DELHI,IND,0,Post Graduate,,
6216,Ravi Kumar,BAREILLY,Sardar Patel Siddhant Party,0,Graduate,"Rs 43,00,000 ~ 43 Lacs+",Rs 0 ~
6217,Ravi Kumar,HATHRAS (SC),IND,0,Literate,"Rs 21,000 ~ 21 Thou+",Rs 0 ~
6218,Ravi Kumar Panchal,GHAZIABAD,IND,0,8th Pass,"Rs 9,13,500 ~ 9 Lacs+",Rs 0 ~
6219,Ravi Kumar Roy,KISHANGANJ,IND,0,Graduate,"Rs 3,76,000 ~ 3 Lacs+","Rs 4,99,010 ~ 4 Lacs+"
6220,Ravi Palakuri,NALGONDA,IND,0,Graduate,,
6221,Ravi Prakash,JHANSI,BSP,3,Graduate,"Rs 22,00,299 ~ 22 Lacs+","Rs 9,03,480 ~ 9 Lacs+"
6222,Ravi Raj Singh,JHALAWAR-BARAN,IND,1,12th Pass,"Rs 19,76,325 ~ 19 Lacs+","Rs 3,15,127 ~ 3 Lacs+"
6223,Ravi Ramdas Jadhav (Sawanekar),HINGOLI,Abhinav Bharat Janseva Paksh,0,12th Pass,"Rs 2,65,500 ~ 2 Lacs+",Rs 0 ~
6224,Ravi Raushan Kumar,SAMASTIPUR (SC),IND,0,Graduate Professional,"Rs 31,047 ~ 31 Thou+","Rs 1,80,000 ~ 1 Lacs+"
6225,Ravi Shankar Prasad,PATNA SAHIB,BJP,0,Post Graduate,,
6226,Ravi Shivappa Padasalagi,BAGALKOT,IND,1,Post Graduate,"Rs 3,99,34,584 ~ 3 Crore+","Rs 94,28,554 ~ 94 Lacs+"
6227,Ravi Shivappa Padasalagi,BELGAUM,IND,1,Post Graduate,"Rs 3,99,34,584 ~ 3 Crore+","Rs 94,28,554 ~ 94 Lacs+"
6228,Ravi Sirwaiya,INDORE,IND,0,12th Pass,"Rs 5,97,500 ~ 5 Lacs+",Rs 0 ~
6229,Ravi Verma,MATHURA,IND,0,12th Pass,"Rs 5,52,673 ~ 5 Lacs+",Rs 0 ~
6230,Ravichandran L,ERODE,IND,0,5th Pass,,
6231,Ravichandran M,COIMBATORE,IND,0,Graduate Professional,"Rs 25,27,000 ~ 25 Lacs+",Rs 0 ~
6232,Ravichandran R,CHENNAI SOUTH,IND,0,8th Pass,"Rs 14,77,000 ~ 14 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
6233,Ravidas Mehrotra,LUCKNOW,SP,18,Graduate Professional,"Rs 1,18,50,112 ~ 1 Crore+","Rs 88,480 ~ 88 Thou+"
6234,Ravikant Chandradas Tupkar,BULDHANA,IND,11,Graduate,"Rs 99,68,543 ~ 99 Lacs+","Rs 16,90,000 ~ 16 Lacs+"
6235,Ravikaran Singh Dhurve,SHAHDOL (ST),Bhartiya Shakti Chetna Party,0,10th Pass,,
6236,Ravikaran V P,CHENNAI SOUTH,IND,0,10th Pass,"Rs 1,92,000 ~ 1 Lacs+",Rs 0 ~
6237,Ravikumar P,NAMAKKAL,Ganasangam Party of India,0,12th Pass,"Rs 39,700 ~ 39 Thou+",Rs 0 ~
6238,Ravikumar. D,VILUPPURAM (SC),Viduthalai Chiruthaigal Katchi,0,Doctorate,"Rs 97,87,136 ~ 97 Lacs+",Rs 0 ~
6239,Ravikumara N.,SHIMOGA,IND,0,12th Pass,"Rs 60,000 ~ 60 Thou+",Rs 0 ~
6240,Ravinaik. B,DAVANAGERE,IND,0,Post Graduate,,
6241,Ravindar Kushawaha,SALEMPUR,BJP,0,12th Pass,"Rs 2,94,66,516 ~ 2 Crore+",Rs 0 ~
6242,Ravinder,ROHTAK,Jannayak Janta Party,0,Graduate,"Rs 1,49,19,297 ~ 1 Crore+","Rs 7,86,970 ~ 7 Lacs+"
6243,Ravinder Pal Singh Baba Ji Bargar Wale,LUDHIANA,IND,0,8th Pass,"Rs 18,30,000 ~ 18 Lacs+",Rs 0 ~
6244,Ravinder Singh,NEW DELHI,IND,0,10th Pass,"Rs 35,05,000 ~ 35 Lacs+",Rs 0 ~
6245,Ravinder Singh,ANANTNAG-RAJOURI,IND,0,Illiterate,,
6246,Ravindra Bhaskarrao Bodkhe,AURANGABAD,Bharatiya Yuva Jan Ekta Party,0,Graduate Professional,"Rs 5,55,37,000 ~ 5 Crore+","Rs 1,00,000 ~ 1 Lacs+"
6247,Ravindra Chandar Solankar,SANGLI,IND,0,Graduate,"Rs 9,25,000 ~ 9 Lacs+",Rs 0 ~
6248,Ravindra Dattaram Waikar,MUMBAI NORTH - WEST,Shiv Sena,3,Graduate,"Rs 54,50,49,854 ~ 54 Crore+","Rs 4,48,10,574 ~ 4 Crore+"
6249,Ravindra Kallayya Swamy,SHIRDI (SC),IND,0,Graduate Professional,"Rs 52,76,35,216 ~ 52 Crore+","Rs 5,44,50,000 ~ 5 Crore+"
6250,Ravindra Mandal,MUNGER,SUCI(C),0,Graduate,,
6251,Ravindra Motiram Sirsam,SHIRUR,IND,3,12th Pass,"Rs 6,50,000 ~ 6 Lacs+",Rs 0 ~
6252,Ravindra Nath Sharma,AZAMGARH,Moulik Adhikar Party,0,12th Pass,"Rs 19,09,500 ~ 19 Lacs+",Rs 0 ~
6253,Ravindra Ranjit Valvi,NANDURBAR (ST),Bharat Adivasi Party,0,Graduate,"Rs 4,72,60,220 ~ 4 Crore+",Rs 0 ~
6254,Ravindra Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,"Rs 43,32,35,340 ~ 43 Crore+","Rs 1,78,14,634 ~ 1 Crore+"
6255,Ravindra Singh Bhati,BARMER,IND,6,Graduate Professional,,
6256,Ravindra Singh Shekhawat,SIKAR,IND,0,Graduate,"Rs 13,03,000 ~ 13 Lacs+","Rs 9,00,000 ~ 9 Lacs+"
6257,Ravindra Sonvane,KHANDWA,IND,0,Literate,"Rs 94,63,619 ~ 94 Lacs+","Rs 6,00,000 ~ 6 Lacs+"
6258,Ravneet Singh Bittu,LUDHIANA,BJP,3,12th Pass,"Rs 5,94,28,924 ~ 5 Crore+","Rs 2,32,28,143 ~ 2 Crore+"
6259,Ravva. Bhadramma,MAHABUBABAD (ST),Dharma Samaj Party,0,10th Pass,"Rs 10,70,000 ~ 10 Lacs+",Rs 0 ~
6260,Rayapati Jagadeesh,ONGOLE,IND,0,Post Graduate,,
6261,Reddymalla Parvathi,SECUNDERABAD,IND,0,Illiterate,"Rs 3,40,000 ~ 3 Lacs+",Rs 0 ~
6262,Reena Leong,BURDWAN - DURGAPUR,IND,0,8th Pass,"Rs 1,52,000 ~ 1 Lacs+",Rs 0 ~
6263,Regis Thiyagarajan. V.G.A,KARUR,IND,0,Others,"Rs 2,70,000 ~ 2 Lacs+","Rs 5,50,000 ~ 5 Lacs+"
6264,Rejaul Karim,DHUBRI,Republican Party of India (Athawale),0,12th Pass,"Rs 12,45,519 ~ 12 Lacs+",Rs 0 ~
6265,Rejaul Mondal,JANGIPUR,IND,0,8th Pass,,
6266,Rekha Kailas Pophalkar,BULDHANA,IND,0,10th Pass,"Rs 1,90,850 ~ 1 Lacs+",Rs 0 ~
6267,Rekha Patra,BASIRHAT,BJP,4,5th Pass,"Rs 25,047 ~ 25 Thou+",Rs 0 ~
6268,Rekha Rani,KANGRA,BSP,0,Graduate,"Rs 10,47,249 ~ 10 Lacs+",Rs 0 ~
6269,Rekha Shakya,BHIND (SC),IND,0,12th Pass,"Rs 10,31,250 ~ 10 Lacs+",Rs 0 ~
6270,Rekha Tiwari,KORBA,Chhattisgarh Vikas Ganga Rashtriya Party,0,Not Given,,
6271,Rekha Verma,DHAURAHRA,BJP,0,12th Pass,"Rs 6,00,81,280 ~ 6 Crore+","Rs 10,53,617 ~ 10 Lacs+"
6272,Rekhaben Harsingbhai Chaudhari,BARDOLI (ST),BSP,0,5th Pass,"Rs 2,000 ~ 2 Thou+",Rs 0 ~
6273,Rekhram Bagh,MAHASAMUND,IND,0,Post Graduate,"Rs 90,90,000 ~ 90 Lacs+",Rs 0 ~
6274,Rengasamy C,THANJAVUR,IND,0,Others,"Rs 6,48,57,100 ~ 6 Crore+",Rs 0 ~
6275,Resham Singh,AMRITSAR,IND,0,12th Pass,,
6276,Reshma Panwar,GARHWAL,SUCI(C),0,Post Graduate,"Rs 4,764 ~ 4 Thou+",Rs 0 ~
6277,Reshu Sharma,MUZAFFARNAGAR,IND,0,12th Pass,"Rs 23,53,856 ~ 23 Lacs+","Rs 12,25,000 ~ 12 Lacs+"
6278,Revathi K,THENI,IND,0,12th Pass,"Rs 96,000 ~ 96 Thou+",Rs 0 ~
6279,Rezaul Haque,DHANBAD,Lokhit Adhikar Party,0,Graduate,"Rs 95,38,000 ~ 95 Lacs+","Rs 1,98,000 ~ 1 Lacs+"
6280,Richard Vanlalhmangaiha,MIZORAM (ST),Zoram Peoples Movement,0,Graduate,,
6281,Richard Vincent A,COIMBATORE,Viro Ke Vir Indian Party,0,Graduate,"Rs 73,50,000 ~ 73 Lacs+","Rs 29,23,000 ~ 29 Lacs+"
6282,Riddheshwar Anandrao Beley,RAMTEK (SC),Republican Party of India (A),0,12th Pass,"Rs 1,63,05,000 ~ 1 Crore+","Rs 38,04,106 ~ 38 Lacs+"
